"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
,"2023",,,,,
"Sex at birth 5","Male",,,"Female",,
"Indicator 6","Frequency","Rank 8","Proportion (%)","Frequency","Rank 8","Proportion (%)"
"First name at birth 7"
,"Number",,"Percent","Number",,"Percent"
"AABAN","..","..","..","..","..",".."
"AABIR","..","..","..","..","..",".."
"AADAM","6","2,614","0.0040","..","..",".."
"AADAV","..","..","..","..","..",".."
"AADEN","..","..","..","..","..",".."
"AADHAV","..","..","..","..","..",".."
"AADHAVAN","..","..","..","..","..",".."
"AADHI","5","2,931","0.0033","..","..",".."
"AADHINI","..","..","..","..","..",".."
"AADHIRA","..","..","..","6","2,824","0.0043"
"AADHIRAN","7","2,348","0.0046","..","..",".."
"AADHYA","..","..","..","78","371","0.0558"
"AADI","9","1,963","0.0060","..","..",".."
"AADIL","..","..","..","..","..",".."
"AADIT","..","..","..","..","..",".."
"AADITYA","..","..","..","..","..",".."
"AADIV","..","..","..","..","..",".."
"AADVIK","26","911","0.0172","..","..",".."
"AADYA","..","..","..","26","976","0.0186"
"AADYN","..","..","..","..","..",".."
"AAFIYA","..","..","..","..","..",".."
"AAFIYAH","..","..","..","5","3,197","0.0036"
"AAGAM","..","..","..","..","..",".."
"AAHAAN","..","..","..","..","..",".."
"AAHAN","9","1,963","0.0060","..","..",".."
"AAHANA","..","..","..","16","1,398","0.0114"
"AAHIL","18","1,198","0.0119","..","..",".."
"AAIDEN","..","..","..","..","..",".."
"AAILA","..","..","..","5","3,197","0.0036"
"AAIMA","..","..","..","..","..",".."
"AAIRA","..","..","..","21","1,136","0.0150"
"AAIRAH","..","..","..","5","3,197","0.0036"
"AAISHA","..","..","..","..","..",".."
"AAIZA","..","..","..","..","..",".."
"AAKASH","..","..","..","..","..",".."
"AALAYAH","..","..","..","..","..",".."
"AALEYAH","..","..","..","..","..",".."
"AALIA","..","..","..","..","..",".."
"AALIYA","..","..","..","10","1,992","0.0072"
"AALIYAH","..","..","..","151","168","0.1080"
"AALIYAN","..","..","..","..","..",".."
"AALYA","..","..","..","..","..",".."
"AALYIAH","..","..","..","..","..",".."
"AAMENA","..","..","..","..","..",".."
"AAMINA","..","..","..","..","..",".."
"AAMINAH","..","..","..","12","1,739","0.0086"
"AAMIR","..","..","..","..","..",".."
"AAMNA","..","..","..","..","..",".."
"AANAV","6","2,614","0.0040","..","..",".."
"AANAYA","..","..","..","..","..",".."
"AANIKA","..","..","..","..","..",".."
"AANSHI","..","..","..","5","3,197","0.0036"
"AANVI","..","..","..","7","2,557","0.0050"
"AANYA","..","..","..","27","944","0.0193"
"AARA","..","..","..","..","..",".."
"AARADHANA","..","..","..","..","..",".."
