"Archived - Job vacancies and proportion of job vacancies by occupation and recruitment strategies, quarterly, unadjusted for seasonality, inactive 1 2 3"
"Frequency: Quarterly"
"Table: 14-10-0328-08"
"Release date: 2023-12-18"
"Geography: Canada, Province or territory"
""
""

,"Geography","Canada",,,,
,"Statistics","Job vacancies 4",,,,
"National Occupational Classification 5","Job vacancy characteristics","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023"
,,"Number",,,,
"Total, all occupations 6","Recruitment strategies, all types 7","991,680A","855,890A","781,205A","818,195A","737,530A"
,"Personal contacts, referrals, informal networks","751,915A","640,895A","580,850A","602,850A","541,575A"
,"Posting a "help-wanted" sign on the storefront of the location","267,485A","233,905A","195,915A","204,265A","173,935A"
,"Company website","616,150A","555,425A","497,760A","516,365A","463,430A"
,"Online job boards","777,945A","679,485A","621,055A","645,845A","589,990A"
,"Social media","622,590A","528,900A","481,965A","508,270A","440,220A"
,"Job or recruitment fairs at schools, colleges or universities","259,445A","246,520A","245,005A","259,310A","217,665A"
,"Government employment centre or website","248,285A","214,335A","204,875A","219,330A","188,440A"
,"Professional networking, headhunters or employment agency","246,995A","207,525A","197,455A","191,375A","170,325A"
,"Newspaper ads","101,060A","87,205A","80,015A","77,940A","68,775A"
,"Other recruitment strategies","107,105A","92,285A","94,610A","93,165A","89,630A"
"Management occupations  [0]","Recruitment strategies, all types 7","44,580A","41,025A","39,585A","37,965A","35,185A"
,"Personal contacts, referrals, informal networks","32,700A","30,715A","29,110A","27,805A","25,550A"
,"Posting a "help-wanted" sign on the storefront of the location","9,615B","8,920B","8,085B","7,160B","6,745B"
,"Company website","31,890A","29,480A","28,375A","28,060A","25,520A"
,"Online job boards","35,410A","32,450A","32,165A","31,050A","28,605A"
,"Social media","28,730A","25,695A","25,375A","23,775A","21,280A"
,"Job or recruitment fairs at schools, colleges or universities","8,995A","9,310A","10,060A","10,080A","8,155A"
,"Government employment centre or website","7,185A","6,610B","7,285A","7,110B","5,855B"
,"Professional networking, headhunters or employment agency","17,075A","14,965A","15,300A","13,185A","12,200A"
,"Newspaper ads","2,710B","2,115B","2,285B","1,825B","1,665B"
,"Other recruitment strategies","4,935B","4,685B","4,205B","4,110B","3,590B"
"Business, finance and administration occupations  [1]","Recruitment strategies, all types 7","104,840A","96,835A","88,535A","88,210A","78,910A"
,"Personal contacts, referrals, informal networks","75,065A","69,290B","64,455A","64,615A","57,105A"
,"Posting a "help-wanted" sign on the storefront of the location","12,700A","10,925B","11,510B","11,170A","9,280A"
,"Company website","71,375A","67,140B","61,595A","60,760A","52,780A"
,"Online job boards","84,355A","77,700B","71,960A","71,280A","63,910A"
,"Social media","63,980A","58,385B","54,635A","53,100A","47,100A"
,"Job or recruitment fairs at schools, colleges or universities","23,670A","24,315B","25,235A","25,705A","20,740A"
,"Government employment centre or website","21,010A","17,915B","17,345A","19,200A","14,815A"
,"Professional networking, headhunters or employment agency","36,540A","31,355B","27,880A","30,260A","24,195A"
,"Newspaper ads","6,545B","6,255B","6,400B","5,500B","5,510B"
,"Other recruitment strategies","11,735A","11,335B","12,070B","8,315A","9,210B"
"Natural and applied sciences and related occupations  [2]","Recruitment strategies, all types 7","66,835A","58,465A","57,130A","51,740A","44,100A"
,"Personal contacts, referrals, informal networks","52,935A","44,660A","44,560A","39,385A","33,425A"
,"Posting a "help-wanted" sign on the storefront of the location","5,915B","4,950B","6,285B","5,195B","3,465B"
,"Company website","51,795A","46,135A","44,155A","41,330A","35,880A"
,"Online job boards","55,670A","49,385A","48,450A","43,790A","35,995A"
,"Social media","46,450A","38,405A","39,495A","35,105A","28,755A"
,"Job or recruitment fairs at schools, colleges or universities","24,035A","21,550A","22,775A","19,945A","14,675A"
,"Government employment centre or website","11,280B","9,655B","10,745B","9,310A","6,915B"
,"Professional networking, headhunters or employment agency","29,450A","23,160A","22,835A","21,520A","16,395A"
,"Newspaper ads","2,420B","1,850B","2,415B","1,510B","1,605B"
,"Other recruitment strategies","5,730B","6,700B","6,300B","4,725B","5,260B"
"Health occupations  [3]","Recruitment strategies, all types 7","96,620A","92,515A","92,180A","89,955A","91,930A"
,"Personal contacts, referrals, informal networks","69,605A","65,085B","66,945A","69,165B","68,680A"
,"Posting a "help-wanted" sign on the storefront of the location","14,195B","14,930C","14,285B","14,640C","15,865B"
,"Company website","78,800A","76,915B","78,025A","76,540B","78,975A"
,"Online job boards","83,160A","80,205B","79,465A","79,860B","81,665A"
,"Social media","65,835A","63,275B","59,545A","64,235B","65,740A"
,"Job or recruitment fairs at schools, colleges or universities","50,505A","50,880B","53,055A","56,520B","57,930B"
,"Government employment centre or website","35,575A","32,715B","31,380A","37,365B","39,895B"
,"Professional networking, headhunters or employment agency","27,240A","24,960B","26,245A","23,465B","28,170B"
,"Newspaper ads","18,090B","19,010B","16,950B","16,455B","16,110B"
,"Other recruitment strategies","8,840B","9,585C","12,795C","13,670C","18,905B"
"Occupations in education, law and social, community and government services  [4]","Recruitment strategies, all types 7","64,730A","64,280A","64,035A","66,610A","63,225A"
,"Personal contacts, referrals, informal networks","46,495A","45,405A","46,800A","46,275A","45,180A"
,"Posting a "help-wanted" sign on the storefront of the location","10,410B","10,090B","10,780B","10,880B","9,805B"
,"Company website","48,035A","49,000A","48,790A","50,345A","48,860A"
,"Online job boards","54,565A","54,935A","54,905A","56,090A","53,040A"
,"Social media","44,945A","44,265A","44,765A","45,065A","43,580A"
,"Job or recruitment fairs at schools, colleges or universities","23,835A","26,545A","27,475A","29,800A","27,705A"
,"Government employment centre or website","20,065A","20,070A","20,430A","21,255A","19,085A"
,"Professional networking, headhunters or employment agency","12,225A","13,130B","14,685B","13,200B","13,015B"
,"Newspaper ads","9,280B","8,175B","8,025B","8,620B","7,710B"
,"Other recruitment strategies","6,430B","5,810B","7,405B","7,265B","8,335B"
"Occupations in art, culture, recreation and sport  [5]","Recruitment strategies, all types 7","15,485B","14,465B","15,080A","15,795A","12,025A"
,"Personal contacts, referrals, informal networks","11,845B","11,215B","11,410B","11,530B","8,210B"
,"Posting a "help-wanted" sign on the storefront of the location","2,410C","2,505C","2,760C","2,320B","1,725C"
,"Company website","12,460B","11,550B","11,100B","11,085A","8,935A"
,"Online job boards","12,320B","11,195B","12,190B","11,760A","9,420B"
,"Social media","11,705B","11,065B","11,550B","11,945A","8,375B"
,"Job or recruitment fairs at schools, colleges or universities","3,915C","4,575C","4,425B","4,640B","3,105B"
,"Government employment centre or website","3,030C","2,730B","3,030B","3,950B","2,235C"
,"Professional networking, headhunters or employment agency","3,800B","3,465B","2,530C","3,175B","1,925B"
,"Newspaper ads","685D","1,060D","1,120B","1,220C","770D"
,"Other recruitment strategies","1,685C","1,710C","1,245C","1,850C","1,405D"
"Sales and service occupations  [6]","Recruitment strategies, all types 7","339,515A","279,790A","232,855A","261,010A","227,250A"
,"Personal contacts, referrals, informal networks","259,540A","212,430A","173,980A","189,850A","162,805A"
